Type	Label
congressperson	D000596
congressperson	D000597
congressperson	D000598
congressperson	D000599
congressperson	D000600
congressperson	D000601
congressperson	D000602
congressperson	D000603
congressperson	D000604
congressperson	D000605
congressperson	D000606
congressperson	D000607
congressperson	D000608
congressperson	D000609
congressperson	D000610
congressperson	D000611
congressperson	D000612
congressperson	D000613
congressperson	D000614
congressperson	D000615
congressperson	D000616
congressperson	D000617
congressperson	D000618
congressperson	D000619
congressperson	D000620
congressperson	D000621
congressperson	D000622
congressperson	D000623
congressperson	D000624
congressperson	D000625
congressperson	D000626
congressperson	D000627
congressperson	D000628
congressperson	D000629
congressperson	D000630
congressperson	D000631
congressperson	E000004
congressperson	E000013
congressperson	E000017
congressperson	E000018
congressperson	E000031
congressperson	E000033
congressperson	E000035
congressperson	E000043
congressperson	E000063
congressperson	E000064
congressperson	E000071
congressperson	E000077
congressperson	E000084
congressperson	E000092
congressperson	E000093
congressperson	E000096
congressperson	E000172
congressperson	E000174
congressperson	E000175
congressperson	E000179
congressperson	E000184
congressperson	E000186
congressperson	E000187
congressperson	E000194
congressperson	E000198
congressperson	E000201
congressperson	E000204
congressperson	E000208
congressperson	E000211
congressperson	E000213
congressperson	E000214
congressperson	E000215
congressperson	E000218
congressperson	E000226
congressperson	E000233
congressperson	E000236
congressperson	E000239
congressperson	E000240
congressperson	E000250
congressperson	E000254
congressperson	E000258
congressperson	E000259
congressperson	E000268
congressperson	E000273
congressperson	E000282
congressperson	E000284
congressperson	E000285
congressperson	E000286
congressperson	E000287
congressperson	E000288
congressperson	E000289
congressperson	E000290
congressperson	E000291
congressperson	E000292
congressperson	E000293
congressperson	E000294
congressperson	E000295
congressperson	E000296
congressperson	E000297
congressperson	E000298
congressperson	E000299
congressperson	F000010
congressperson	F000013
congressperson	F000030
congressperson	F000040
congressperson	F000041
congressperson	F000043
congressperson	F000046
congressperson	F000049
congressperson	F000053
congressperson	F000059
congressperson	F000061
congressperson	F000062
congressperson	F000078
congressperson	F000088
congressperson	F000102
congressperson	F000110
congressperson	F000111
congressperson	F000116
congressperson	F000123
congressperson	F000128
congressperson	F000141
congressperson	F000151
congressperson	F000152
congressperson	F000161
congressperson	F000184
congressperson	F000187
congressperson	F000208
congressperson	F000209
congressperson	F000215
congressperson	F000218
congressperson	F000229
congressperson	F000235
congressperson	F000238
congressperson	F000239
congressperson	F000245
congressperson	F000246
congressperson	F000257
congressperson	F000260
congressperson	F000261
congressperson	F000262
congressperson	F000268
congressperson	F000270
congressperson	F000286
congressperson	F000319
congressperson	F000328
congressperson	F000329
congressperson	F000332
congressperson	F000339
congressperson	F000347
congressperson	F000348
congressperson	F000349
congressperson	F000350
congressperson	F000351
congressperson	F000371
congressperson	F000372
congressperson	F000380
congressperson	F000381
congressperson	F000387
congressperson	F000388
congressperson	F000392
congressperson	F000401
congressperson	F000424
congressperson	F000426
congressperson	F000430
congressperson	F000434
congressperson	F000435
congressperson	F000437
congressperson	F000438
congressperson	F000439
congressperson	F000440
congressperson	F000441
congressperson	F000442
congressperson	F000443
congressperson	F000444
congressperson	F000445
congressperson	F000446
congressperson	F000447
congressperson	F000448
congressperson	F000449
congressperson	F000450
congressperson	F000451
congressperson	F000452
congressperson	F000453
congressperson	F000454
congressperson	F000455
congressperson	F000456
congressperson	F000457
congressperson	F000458
congressperson	F000459
congressperson	F000460
congressperson	F000461
congressperson	F000462
congressperson	F000463
congressperson	F000464
congressperson	F000465
congressperson	F000466
congressperson	F000467
congressperson	F000468
congressperson	F000469
congressperson	F000470
congressperson	F000471
congressperson	F000472
congressperson	G000021
congressperson	G000025
congressperson	G000036
congressperson	G000041
congressperson	G000047
congressperson	G000061
congressperson	G000072
congressperson	G000105
congressperson	G000120
congressperson	G000121
congressperson	G000132
congressperson	G000134
congressperson	G000144
congressperson	G000151
congressperson	G000152
congressperson	G000153
congressperson	G000180
congressperson	G000210
congressperson	G000212
congressperson	G000225
congressperson	G000226
congressperson	G000236
congressperson	G000240
congressperson	G000267
congressperson	G000268
congressperson	G000272
congressperson	G000280
congressperson	G000289
congressperson	G000291
congressperson	G000309
congressperson	G000321
congressperson	G000333
congressperson	G000336
congressperson	G000349
congressperson	G000352
congressperson	G000359
congressperson	G000365
congressperson	G000367
congressperson	G000371
congressperson	G000377
congressperson	G000382
congressperson	G000386
congressperson	G000387
congressperson	G000388
congressperson	G000400
congressperson	G000402
congressperson	G000407
congressperson	G000408
congressperson	G000410
congressperson	G000417
congressperson	G000420
congressperson	G000439
congressperson	G000445
congressperson	G000465
congressperson	G000471
congressperson	G000480
congressperson	G000495
congressperson	G000499
congressperson	G000504
congressperson	G000511
congressperson	G000512
congressperson	G000513
congressperson	G000515
congressperson	G000524
congressperson	G000528
congressperson	G000531
congressperson	G000535
congressperson	G000536
congressperson	G000537
congressperson	G000544
congressperson	G000545
congressperson	G000546
congressperson	G000547
congressperson	G000548
congressperson	G000549
congressperson	G000550
congressperson	G000551
congressperson	G000552
congressperson	G000553
congressperson	G000554
congressperson	G000555
congressperson	G000556
congressperson	G000557
congressperson	G000558
congressperson	G000559
congressperson	G000560
congressperson	G000561
congressperson	G000562
congressperson	G000563
congressperson	G000564
congressperson	G000565
congressperson	G000566
congressperson	G000567
congressperson	G000568
congressperson	G000569
congressperson	G000570
congressperson	G000571
congressperson	G000572
congressperson	G000573
congressperson	G000574
congressperson	G000575
congressperson	G000576
congressperson	G000577
congressperson	G000578
congressperson	G000579
congressperson	G000580
congressperson	G000581
congressperson	G000582
congressperson	G000583
congressperson	G000584
congressperson	G000585
congressperson	G000586
congressperson	G000587
congressperson	G000588
congressperson	G000589
congressperson	G000590
congressperson	G000591
congressperson	G000592
congressperson	G000593
congressperson	G000594
congressperson	G000595
congressperson	G000596
congressperson	G000597
congressperson	G000599
congressperson	H000012
congressperson	H000041
congressperson	H000058
congressperson	H000067
congressperson	H000070
congressperson	H000073
congressperson	H000074
congressperson	H000096
congressperson	H000114
congressperson	H000124
congressperson	H000144
congressperson	H000151
congressperson	H000158
congressperson	H000164
congressperson	H000166
congressperson	H000168
congressperson	H000170
congressperson	H000171
congressperson	H000172
congressperson	H000174
congressperson	H000175
congressperson	H000206
congressperson	H000213
congressperson	H000230
congressperson	H000236
congressperson	H000241
congressperson	H000269
congressperson	H000273
congressperson	H000281
congressperson	H000287
congressperson	H000291
congressperson	H000297
congressperson	H000302
congressperson	H000306
congressperson	H000317
congressperson	H000323
congressperson	H000324
congressperson	H000327
congressperson	H000329
congressperson	H000338
congressperson	H000340
congressperson	H000343
congressperson	H000344
congressperson	H000346
congressperson	H000367
congressperson	H000374
congressperson	H000384
congressperson	H000388
congressperson	H000390
congressperson	H000392
congressperson	H000408
congressperson	H000413
congressperson	H000437
congressperson	H000438
congressperson	H000439
congressperson	H000440
congressperson	H000444
congressperson	H000445
congressperson	H000448
congressperson	H000449
congressperson	H000452
congressperson	H000456
congressperson	H000463
congressperson	H000465
congressperson	H000479
congressperson	H000490
congressperson	H000514
congressperson	H000528
congressperson	H000547
congressperson	H000563
congressperson	H000582
congressperson	H000586
congressperson	H000601
congressperson	H000605
congressperson	H000615
congressperson	H000621
congressperson	H000624
congressperson	H000627
congressperson	H000636
congressperson	H000638
congressperson	H000641
congressperson	H000652
congressperson	H000666
congressperson	H000670
congressperson	H000675
congressperson	H000676
congressperson	H000692
congressperson	H000707
congressperson	H000712
congressperson	H000713
congressperson	H000719
congressperson	H000722
congressperson	H000725
congressperson	H000729
congressperson	H000747
congressperson	H000752
congressperson	H000762
congressperson	H000776
congressperson	H000788
congressperson	H000789
congressperson	H000797
congressperson	H000802
congressperson	H000807
congressperson	H000814
congressperson	H000840
congressperson	H000851
congressperson	H000874
congressperson	H000875
congressperson	H000878
congressperson	H000897
congressperson	H000901
congressperson	H000905
congressperson	H000906
congressperson	H000912
congressperson	H000922
congressperson	H000930
congressperson	H000948
congressperson	H000951
congressperson	H000953
congressperson	H000956
congressperson	H000965
congressperson	H000972
congressperson	H000981
congressperson	H001011
congressperson	H001013
congressperson	H001014
congressperson	H001015
congressperson	H001016
congressperson	H001018
congressperson	H001022
congressperson	H001028
congressperson	H001029
congressperson	H001030
congressperson	H001031
congressperson	H001032
congressperson	H001033
congressperson	H001034
congressperson	H001035
congressperson	H001036
congressperson	H001037
congressperson	H001038
congressperson	H001039
congressperson	H001040
congressperson	H001041
congressperson	H001042
congressperson	H001043
congressperson	H001044
congressperson	H001045
congressperson	H001046
congressperson	H001047
congressperson	H001048
congressperson	H001049
congressperson	H001050
congressperson	H001051
congressperson	H001052
congressperson	H001053
congressperson	H001054
congressperson	H001055
congressperson	H001056
congressperson	H001057
congressperson	H001058
congressperson	H001059
congressperson	H001060
congressperson	H001061
congressperson	H001062
congressperson	H001063
congressperson	H001064
congressperson	H001065
congressperson	H001066
congressperson	H001067
congressperson	H001068
congressperson	H001069
congressperson	H001070
congressperson	H001071
congressperson	H001072
congressperson	H001073
congressperson	H001074
congressperson	H001075
congressperson	H001076
congressperson	H001077
congressperson	H001078
congressperson	H001079
congressperson	H001080
congressperson	H001081
congressperson	H001082
congressperson	H001083
congressperson	H001084
congressperson	H001085
congressperson	H001086
congressperson	H001087
congressperson	H001088
congressperson	H001089
congressperson	H001090
congressperson	H001091
congressperson	H001092
congressperson	I000001
congressperson	I000023
congressperson	I000024
congressperson	I000025
congressperson	I000026
congressperson	I000029
congressperson	I000047
congressperson	I000055
congressperson	I000056
congressperson	I000057
congressperson	J000013
congressperson	J000020
congressperson	J000032
congressperson	J000033
congressperson	J000047
congressperson	J000057
congressperson	J000064
congressperson	J000070
congressperson	J000072
congressperson	J000074
congressperson	J000082
congressperson	J000083
congressperson	J000099
congressperson	J000101
congressperson	J000110
congressperson	J000115
congressperson	J000120
congressperson	J000126
congressperson	J000135
congressperson	J000148
congressperson	J000149
congressperson	J000163
congressperson	J000174
congressperson	J000177
congressperson	J000187
congressperson	J000189
congressperson	J000200
congressperson	J000211
congressperson	J000216
congressperson	J000232
congressperson	J000248
congressperson	J000255
congressperson	J000256
congressperson	J000265
congressperson	J000266
congressperson	J000283
congressperson	J000284
congressperson	J000285
congressperson	J000286
congressperson	J000287
congressperson	J000288
congressperson	J000289
congressperson	J000290
congressperson	J000291
congressperson	J000292
congressperson	J000293
congressperson	J000294
congressperson	J000295
congressperson	J000296
congressperson	J000297
congressperson	J000298
congressperson	J000299
congressperson	J000300
congressperson	J000301
congressperson	J000302
congressperson	J000303
congressperson	J000304
congressperson	J000305
congressperson	J000306
congressperson	K000008
congressperson	K000009
congressperson	K000011
congressperson	K000014
congressperson	K000016
congressperson	K000017
congressperson	K000019
congressperson	K000020
congressperson	K000025
congressperson	K000037
congressperson	K000077
congressperson	K000078
congressperson	K000086
congressperson	K000088
congressperson	K000105
congressperson	K000110
congressperson	K000113
congressperson	K000118
congressperson	K000146
congressperson	K000148
congressperson	K000153
congressperson	K000162
congressperson	K000172
congressperson	K000180
congressperson	K000181
congressperson	K000188
congressperson	K000190
congressperson	K000195
congressperson	K000210
congressperson	K000220
congressperson	K000259
congressperson	K000262
congressperson	K000270
congressperson	K000273
congressperson	K000274
congressperson	K000288
congressperson	K000302
congressperson	K000304
congressperson	K000305
congressperson	K000306
congressperson	K000307
congressperson	K000309
congressperson	K000312
congressperson	K000319
congressperson	K000322
congressperson	K000325
congressperson	K000328
congressperson	K000333
congressperson	K000336
congressperson	K000348
congressperson	K000352
congressperson	K000356
congressperson	K000357
congressperson	K000358
congressperson	K000359
congressperson	K000360
congressperson	K000361
congressperson	K000362
congressperson	K000363
congressperson	K000364
congressperson	K000365
congressperson	K000366
congressperson	K000367
congressperson	K000368
congressperson	K000369
congressperson	K000370
congressperson	K000371
congressperson	K000372
congressperson	K000373
congressperson	K000374
congressperson	K000375
congressperson	K000376
congressperson	K000377
congressperson	K000378
congressperson	K000379
congressperson	K000380
congressperson	K000381
congressperson	K000382
congressperson	K000383
congressperson	K000384
congressperson	K000385
congressperson	K000386
congressperson	K000387
congressperson	K000388
congressperson	K000389
congressperson	K000390
congressperson	K000391
congressperson	K000392
congressperson	K000393
congressperson	K000394
congressperson	K000395
congressperson	K000396
congressperson	K000397
congressperson	K000398
congressperson	L000020
congressperson	L000035
congressperson	L000043
congressperson	L000045
congressperson	L000049
congressperson	L000054
congressperson	L000090
congressperson	L000096
congressperson	L000098
congressperson	L000111
congressperson	L000116
congressperson	L000119
congressperson	L000123
congressperson	L000148
congressperson	L000155
congressperson	L000167
congressperson	L000169
congressperson	L000174
congressperson	L000180
congressperson	L000187
congressperson	L000192
congressperson	L000221
congressperson	L000225
congressperson	L000226
congressperson	L000237
congressperson	L000243
congressperson	L000261
congressperson	L000263
congressperson	L000264
congressperson	L000265
congressperson	L000266
congressperson	L000267
congressperson	L000273
congressperson	L000274
congressperson	L000287
congressperson	L000293
congressperson	L000295
congressperson	L000304
congressperson	L000305
congressperson	L000321
congressperson	L000342
congressperson	L000360
congressperson	L000371
congressperson	L000379
congressperson	L000381
congressperson	L000396
congressperson	L000397
congressperson	L000411
congressperson	L000413
congressperson	L000417
congressperson	L000420
congressperson	L000428
congressperson	L000431
congressperson	L000447
congressperson	L000479
congressperson	L000480
congressperson	L000486
congressperson	L000491
congressperson	L000504
congressperson	L000506
congressperson	L000507
congressperson	L000508
congressperson	L000509
congressperson	L000516
congressperson	L000517
congressperson	L000521
congressperson	L000547
congressperson	L000550
congressperson	L000551
congressperson	L000552
congressperson	L000553
congressperson	L000554
congressperson	L000556
congressperson	L000557
congressperson	L000558
congressperson	L000559
congressperson	L000560
congressperson	L000561
congressperson	L000562
congressperson	L000563
congressperson	L000564
congressperson	L000565
congressperson	L000566
congressperson	L000567
congressperson	L000568
congressperson	L000569
congressperson	L000570
congressperson	L000571
congressperson	L000572
congressperson	L000573
congressperson	L000574
congressperson	L000575
congressperson	L000576
congressperson	L000577
congressperson	L000578
congressperson	L000579
congressperson	L000580
congressperson	L000581
congressperson	L000582
congressperson	L000583
congressperson	L000584
congressperson	L000585
congressperson	L000586
congressperson	L000587
congressperson	L000588
congressperson	L000589
congressperson	L000590
congressperson	L000591
congressperson	L000592
congressperson	L000593
congressperson	L000594
congressperson	L000595
congressperson	M000005
congressperson	M000015
congressperson	M000019
congressperson	M000023
congressperson	M000039
congressperson	M000041
congressperson	M000053
congressperson	M000058
congressperson	M000065
congressperson	M000070
congressperson	M000078
congressperson	M000087
congressperson	M000090
congressperson	M000100
congressperson	M000105
congressperson	M000113
congressperson	M000117
congressperson	M000121
congressperson	M000129
congressperson	M000133
congressperson	M000136
congressperson	M000139
congressperson	M000143
congressperson	M000174
congressperson	M000175
congressperson	M000183
congressperson	M000194
congressperson	M000195
congressperson	M000206
congressperson	M000207
congressperson	M000212
congressperson	M000236
congressperson	M000241
congressperson	M000242
congressperson	M000244
congressperson	M000249
congressperson	M000250
congressperson	M000257
congressperson	M000260
congressperson	M000264
congressperson	M000286
congressperson	M000291
congressperson	M000303
congressperson	M000306
congressperson	M000309
congressperson	M000312
congressperson	M000316
congressperson	M000317
congressperson	M000332
congressperson	M000340
congressperson	M000342
congressperson	M000343
congressperson	M000346
congressperson	M000349
congressperson	M000350
congressperson	M000355
congressperson	M000365
congressperson	M000388
congressperson	M000398
congressperson	M000399
congressperson	M000404
congressperson	M000413
congressperson	M000432
congressperson	M000433
congressperson	M000436
congressperson	M000445
congressperson	M000452
congressperson	M000458
congressperson	M000466
congressperson	M000472
congressperson	M000473
congressperson	M000477
congressperson	M000481
congressperson	M000485
congressperson	M000486
congressperson	M000490
congressperson	M000508
congressperson	M000512
congressperson	M000523
congressperson	M000527
congressperson	M000566
congressperson	M000573
congressperson	M000589
congressperson	M000590
congressperson	M000603
congressperson	M000626
congressperson	M000627
congressperson	M000628
congressperson	M000635
congressperson	M000639
congressperson	M000669
congressperson	M000671
congressperson	M000675
congressperson	M000678
congressperson	M000684
congressperson	M000685
congressperson	M000686
congressperson	M000687
congressperson	M000688
congressperson	M000689
congressperson	M000692
congressperson	M000702
congressperson	M000703
congressperson	M000708
congressperson	M000714
congressperson	M000718
congressperson	M000720
congressperson	M000725
congressperson	M000736
congressperson	M000778
congressperson	M000779
congressperson	M000794
congressperson	M000795
congressperson	M000796
congressperson	M000797
congressperson	M000799
congressperson	M000808
congressperson	M000811
congressperson	M000826
congressperson	M000833
congressperson	M000834
congressperson	M000839
congressperson	M000842
congressperson	M000843
congressperson	M000844
congressperson	M000845
congressperson	M000851
congressperson	M000860
congressperson	M000865
congressperson	M000871
congressperson	M000876
congressperson	M000881
congressperson	M000923
congressperson	M000926
congressperson	M000930
congressperson	M000933
congressperson	M000934
congressperson	M000941
congressperson	M000956
congressperson	M000958
congressperson	M000992
congressperson	M000999
congressperson	M001025
congressperson	M001031
congressperson	M001033
congressperson	M001035
congressperson	M001044
congressperson	M001054
congressperson	M001057
